area,type,number
Belgium,ncn,F1
Belgium,ncn,F2
Belgium,ncn,F3
Belgium,ncn,F4
Belgium,ncn,F5
Belgium,ncn,F6
Belgium,ncn,F7
Belgium,ncn,F8
Belgium,ncn,F11
Belgium,ncn,F12
Belgium,ncn,F13
Belgium,ncn,F14
Belgium,ncn,F15
Belgium,ncn,F16
Belgium,ncn,F17
Belgium,ncn,F18
Belgium,ncn,F19
Belgium,ncn,F20
Belgium,ncn,F21
Belgium,ncn,F22
Belgium,ncn,F23
Belgium,ncn,F24
Belgium,ncn,F25
Belgium,ncn,F26
Belgium,ncn,F27
Belgium,ncn,F28
Belgium,ncn,F29
Belgium,ncn,F30
Belgium,ncn,F31
Belgium,ncn,F32
Belgium,ncn,F33
Belgium,ncn,F34
Belgium,ncn,F35
Belgium,ncn,F36
Belgium,ncn,F37
Belgium,ncn,F38
Belgium,ncn,F39
Belgium,ncn,F40
Belgium,ncn,F41
Belgium,ncn,F42
Belgium,ncn,F43
Belgium,ncn,F44
Belgium,ncn,F45
Belgium,ncn,F70
Belgium,ncn,F71
Belgium,ncn,F72
Belgium,ncn,F74
Belgium,ncn,F75
Belgium,ncn,F76
Belgium,ncn,F77
Belgium,ncn,F78
Belgium,ncn,F79
Belgium,ncn,F102
Belgium,ncn,F103
Belgium,ncn,F104
Belgium,ncn,F105
Belgium,ncn,F106
Belgium,ncn,F200
Belgium,ncn,F201
Belgium,ncn,F202
Belgium,ncn,F203
Belgium,ncn,F204
Belgium,ncn,F205
Belgium,ncn,F206
Belgium,ncn,F207
Belgium,ncn,F208
Belgium,ncn,F209
Belgium,ncn,F211
Belgium,ncn,F212
Belgium,ncn,F213
Belgium,ncn,F214
Belgium,ncn,F215
Belgium,ncn,F216
Belgium,ncn,F217
Belgium,ncn,F220
Belgium,ncn,F221
Belgium,ncn,F310
Belgium,ncn,F311
Belgium,ncn,F351
Belgium,ncn,F352
Belgium,ncn,F361
Belgium,ncn,F371
Belgium,ncn,F372
Belgium,ncn,F373
Belgium,ncn,F374
Belgium,ncn,F381
Belgium,ncn,F391
Belgium,ncn,F400
Belgium,ncn,F401
Belgium,ncn,F402
Belgium,ncn,F403
Belgium,ncn,F404
Belgium,ncn,F405
Belgium,ncn,F411
Belgium,ncn,F412
Belgium,ncn,F413
Belgium,ncn,F414
Belgium,ncn,F415
Belgium,ncn,F416
Belgium,ncn,F417
Belgium,ncn,F418
Belgium,ncn,F419
Belgium,ncn,F421
Belgium,ncn,F422
Belgium,ncn,F423
Belgium,ncn,F424
Belgium,ncn,F425
Belgium,ncn,F701
Belgium,ncn,F702
Belgium,ncn,F703
Belgium,ncn,F751
Belgium,ncn,F752
Belgium,ncn,F753
Belgium,ncn,F771
Belgium,ncn,F781
Belgium,ncn,F782
Belgium,ncn,F791
France,ncn,V5
France,ncn,V16
France,ncn,V30
France,ncn,V31
France,ncn,V32
France,ncn,V33
France,ncn,V34
France,ncn,V40
France,ncn,V41
France,ncn,V43
France,ncn,V44
France,ncn,V47
France,ncn,V50
France,ncn,V51
France,ncn,V52
France,ncn,V53
France,ncn,V54
France,ncn,V56
France,ncn,V60
France,ncn,V61
France,ncn,V63
France,ncn,V64
France,ncn,V65
France,ncn,V66
France,ncn,V70
France,ncn,V72
France,ncn,V73
France,ncn,V74
France,ncn,V75
France,ncn,V80
France,ncn,V81
France,ncn,V83
France,ncn,V84
France,ncn,V85
France,ncn,V86
France,ncn,V87
France,ncn,V90
France,ncn,V92
France,ncn,V94
Great Britain,ncn,1
Great Britain,ncn,2
Great Britain,ncn,3
Great Britain,ncn,4
Great Britain,ncn,5
Great Britain,ncn,6
Great Britain,ncn,7
Great Britain,ncn,8
Great Britain,ncn,9
Great Britain,ncn,10
Great Britain,ncn,11
Great Britain,ncn,12
Great Britain,ncn,13
